1000 10 1
10
	0	91	1	73	2	80	3	80	4	62	5	23	6	14	7	41	8	79	9	93	
	0	80	1	42	2	45	3	92	4	39	5	32	6	51	7	92	8	35	9	83	
	0	47	1	44	2	94	3	42	4	79	5	98	6	57	7	75	8	10	9	42	
	0	22	1	64	2	32	3	33	4	55	5	35	6	76	7	85	8	25	9	30	
	0	59	1	47	2	11	3	74	4	42	5	60	6	78	7	97	8	91	9	45	
	0	77	1	84	2	54	3	71	4	12	5	77	6	10	7	96	8	25	9	13	
	0	91	1	44	2	92	3	55	4	44	5	22	6	18	7	41	8	31	9	43	
	0	55	1	46	2	54	3	84	4	18	5	24	6	68	7	25	8	95	9	21	
	0	68	1	49	2	31	3	90	4	64	5	24	6	88	7	35	8	47	9	12	
	0	61	1	79	2	35	3	93	4	34	5	62	6	48	7	11	8	22	9	47	
	0	44	1	10	2	93	3	61	4	74	5	90	6	11	7	18	8	98	9	42	
	0	58	1	14	2	45	3	71	4	38	5	85	6	64	7	56	8	25	9	26	
	0	68	1	86	2	85	3	90	4	14	5	22	6	69	7	14	8	93	9	31	
	0	69	1	30	2	28	3	98	4	73	5	84	6	21	7	52	8	96	9	45	
	0	85	1	25	2	95	3	98	4	83	5	20	6	32	7	45	8	100	9	10	
	0	95	1	79	2	42	3	95	4	93	5	12	6	47	7	16	8	37	9	19	
	0	99	1	66	2	100	3	93	4	45	5	47	6	35	7	69	8	72	9	58	
	0	80	1	62	2	82	3	23	4	46	5	53	6	54	7	21	8	90	9	59	
	0	92	1	38	2	36	3	54	4	97	5	63	6	33	7	10	8	49	9	91	
	0	12	1	78	2	25	3	80	4	60	5	15	6	88	7	94	8	87	9	96	
	0	38	1	30	2	67	3	55	4	72	5	73	6	66	7	10	8	94	9	48	
	0	49	1	83	2	73	3	27	4	45	5	55	6	46	7	28	8	26	9	99	
	0	40	1	55	2	49	3	21	4	21	5	64	6	99	7	48	8	48	9	35	
	0	43	1	90	2	80	3	61	4	29	5	25	6	60	7	93	8	95	9	59	
	0	41	1	91	2	31	3	80	4	67	5	18	6	53	7	78	8	27	9	92	
